date,T2m,relative_humidity_2m,precipitation,mslp,sp,wind_speed_10m,wind_direction_10m,temperature_1000hPa,Z_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,T_850hPa,Z_850hPa,RH_850hPa,wind_speed_850hPa,wind_direction_850hPa,T_500hPa,Z_500hPa,RH_500hPa,wind_speed_500hPa,wind_direction_500hPa,Z_50hPa,T CW V,latitude,longitude,U10,V10,U_1000hPa,V_1000hPa,U_850hPa,V_850hPa,U_500hPa,V_500hPa
2024-11-25 23:00:00+00:00,9.0675,93.0,0.2,997.7,994.8064,19.08,209.0,9.8,-18.0,12.783802,212.34741,3.55,1319.0,82.0,56.671135,243.5978,-18.3,5457.0,94.0,143.35458,223.67732,20063.0,21.8,59.3293,18.0686,9.250169,16.687742,6.8399935,10.800004,50.76003,25.199934,99.000114,103.679855
2024-11-26 00:00:00+00:00,8.8175,92.0,0.0,998.1,995.20276,18.359999,204.0,9.75,-15.0,11.885453,215.13428,3.1,1320.0,74.0,53.178955,250.21562,-18.45,5450.0,86.0,145.27325,222.18767,20067.0,19.8,59.3293,18.0686,7.467682,16.772694,6.840015,9.71999,50.039967,18.000088,97.55986,107.64011
2024-11-26 01:00:00+00:00,8.8175,92.0,0.0,998.2,995.3025,16.919998,200.0,9.5,-11.0,12.261157,220.23628,2.6,1322.0,64.0,53.6255,252.41643,-18.8,5441.0,68.0,153.27461,223.85812,20073.0,16.6,59.3293,18.0686,5.78698,15.899597,7.9199862,9.36001,51.119972,16.20009,106.20015,110.519844
2024-11-26 02:00:00+00:00,8.9175,92.0,0.0,998.5,995.60254,17.28,213.0,9.1,-6.0,12.984975,226.12321,2.1,1324.0,52.0,56.245316,252.49275,-19.2,5431.0,46.0,164.26141,226.68726,20079.0,12.9,59.3293,18.0686,9.411361,14.4922285,9.359983,9.000015,53.639973,16.92008,119.51992,112.68008
2024-11-26 03:00:00+00:00,8.8175,93.0,0.0,999.8,996.8978,18.359999,221.0,8.7,-1.0,13.783817,229.23648,1.65,1327.0,43.0,59.427265,252.004,-19.65,5422.0,33.0,171.52365,227.80727,20083.0,10.2,59.3293,18.0686,12.045244,13.856466,10.440013,8.999986,56.51997,18.36008,127.0801,115.199875
2024-11-26 04:00:00+00:00,8.2175,90.0,0.0,1000.0,997.09094,16.199999,221.0,8.3,4.0,14.021525,228.12221,1.25,1330.0,39.0,63.75151,251.56496,-20.0,5414.0,39.0,171.59958,226.01991,20083.0,9.3,59.3293,18.0686,10.628157,12.226294,10.440012,9.359984,60.479965,20.16009,123.47982,119.160194
2024-11-26 05:00:00+00:00,8.3175,84.0,0.0,1000.4,997.49115,16.199999,221.0,7.85,10.0,14.003028,226.04153,0.95,1333.0,38.0,68.31468,250.61012,-20.4,5407.0,54.0,168.89218,222.84053,20082.0,9.4,59.3293,18.0686,10.628157,12.226294,10.079984,9.720017,64.439964,22.680088,114.83993,123.84004
2024-11-26 06:00:00+00:00,8.0175,84.0,0.0,1000.9,997.98645,18.0,215.0,7.45,15.0,13.755579,222.87889,0.75,1337.0,38.0,71.51054,250.28787,-20.85,5402.0,63.0,165.99162,220.426,20083.0,9.5,59.3293,18.0686,10.324375,14.744737,9.359997,10.080001,67.31996,24.120102,107.63982,126.36015
2024-11-26 07:00:00+00:00,7.7175,83.0,0.0,1002.1,999.1798,19.8,218.0,7.0,20.0,13.783817,220.76352,0.8,1341.0,38.0,71.27091,250.83278,-21.4,5399.0,60.0,166.16643,219.72606,20090.0,9.0,59.3293,18.0686,12.190095,15.602614,8.999984,10.440015,67.31996,23.40013,106.19989,127.80011
2024-11-26 08:00:00+00:00,7.3675003,82.0,0.0,1002.7,999.77435,19.44,216.0,6.6,25.0,13.896187,216.57312,0.95,1345.0,38.0,69.33061,251.8472,-22.05,5397.0,51.0,165.6133,219.88525,20101.0,8.5,59.3293,18.0686,11.426543,15.727293,8.280016,11.159988,65.87996,21.60012,106.199875,127.0801
2024-11-26 09:00:00+00:00,7.2175,83.0,0.0,1002.8,999.87244,20.519999,206.0,6.35,29.0,13.979872,214.50858,1.0,1349.0,39.0,67.176414,252.53598,-22.95,5394.0,42.0,160.29097,220.81056,20110.0,8.2,59.3293,18.0686,8.995374,18.443254,7.9200115,11.519993,64.079956,20.16011,104.75978,121.32017
2024-11-26 10:00:00+00:00,7.5175004,80.0,0.0,1003.1,1000.1747,21.24,208.0,6.45,32.0,13.979872,214.50858,0.8,1352.0,42.0,65.00866,252.26732,-24.25,5390.0,32.0,145.91196,223.50052,20117.0,8.3,59.3293,18.0686,9.971575,18.753807,7.9200115,11.519993,61.919964,19.800095,100.440125,105.839874
2024-11-26 11:00:00+00:00,8.2675,79.0,0.0,1003.4,1000.4817,21.599998,211.0,6.8,35.0,13.684735,215.36255,0.5,1354.0,46.0,62.613094,251.56496,-25.75,5386.0,21.0,126.942764,227.98871,20123.0,8.6,59.3293,18.0686,11.124819,18.514814,7.9200153,11.159988,59.399967,19.800089,94.32012,84.959885
2024-11-26 12:00:00+00:00,8.0675,78.0,0.0,1003.7,1000.7787,20.16,211.0,6.9,38.0,13.479583,214.11452,0.25,1356.0,50.0,60.468212,250.16252,-27.0,5382.0,14.0,109.469,231.81097,20128.0,8.8,59.3293,18.0686,10.383165,17.280495,7.5600076,11.159993,56.879963,20.520102,86.039925,67.680084
2024-11-26 13:00:00+00:00,7.8675003,78.0,0.0,1004.3,1001.375,19.8,211.0,6.65,41.0,13.089354,211.50421,0.05,1358.0,55.0,59.84452,246.9824,-27.7,5379.0,11.0,95.29738,231.44157,20131.0,8.8,59.3293,18.0686,10.197751,16.971912,6.839988,11.160006,55.079987,23.40004,74.51996,59.40005
2024-11-26 14:00:00+00:00,7.3675003,79.0,0.0,1004.8,1001.86816,16.199999,202.0,6.2,44.0,13.0447235,207.97939,-0.1,1360.0,60.0,60.05206,243.28142,-28.1,5377.0,11.0,82.09578,228.19963,20134.0,8.8,59.3293,18.0686,6.0686274,15.020376,6.119982,11.52001,53.640038,26.999928,61.200077,54.719902
2024-11-26 15:00:00+00:00,6.8675003,78.0,0.0,1005.2,1002.26166,15.4800005,194.0,5.8,46.0,13.202726,205.8663,-0.3,1361.0,66.0,59.79252,240.81146,-28.5,5375.0,17.0,67.74316,226.72263,20136.0,9.1,59.3293,18.0686,3.7449496,15.020179,5.759988,11.880005,52.200043,29.159918,49.319965,46.440025
2024-11-26 16:00:00+00:00,6.4675,78.0,0.0,1005.3,1002.3573,15.119999,195.0,5.6,48.0,13.527572,205.2011,-0.65,1362.0,75.0,58.048256,240.2552,-29.0,5374.0,31.0,48.384857,233.47105,20139.0,10.0,59.3293,18.0686,3.9133441,14.604797,5.7599936,12.240003,50.400047,28.79992,38.879955,28.80006
2024-11-26 17:00:00+00:00,6.1675,76.0,0.0,1005.5,1002.55365,16.919998,198.0,5.5,49.0,14.007655,205.90645,-1.05,1362.0,84.0,55.28198,240.76428,-29.55,5375.0,50.0,30.563978,254.98158,20142.0,11.3,59.3293,18.0686,5.2285666,16.091875,6.119987,12.600006,48.240036,26.99993,29.519993,7.9200253
2024-11-26 18:00:00+00:00,6.1675,80.0,0.0,1005.7,1002.75305,18.72,202.0,5.35,50.0,14.654254,207.824,-1.35,1363.0,91.0,52.002243,243.25763,-29.8,5376.0,66.0,25.849905,282.875,20145.0,12.4,59.3293,18.0686,7.012636,17.35688,6.83998,12.96001,46.44002,23.39995,25.200003,-5.7599945
2024-11-26 19:00:00+00:00,6.4175,80.0,0.0,1005.9,1002.95496,19.44,207.0,5.1,52.0,15.0038395,210.25635,-1.4,1364.0,92.0,48.539967,249.14546,-29.7,5378.0,75.0,29.533169,279.11777,20149.0,13.2,59.3293,18.0686,8.825577,17.321167,7.5599794,12.9600115,45.35998,17.280062,29.160011,-4.6799464
2024-11-26 20:00:00+00:00,6.4675,84.0,0.0,1006.2,1003.2547,18.0,210.0,4.8,55.0,15.575981,213.6901,-1.4,1366.0,90.0,45.33428,257.61926,-29.35,5381.0,80.0,37.612675,264.50778,20154.0,13.9,59.3293,18.0686,8.999999,15.588458,8.640004,12.959996,44.280006,9.719977,37.440002,3.599924
